case_index,H,D,B,num_segs,seg_lengths,rules,matched_prefix_arr,sparse_total_avg,sparse_kernel_avg,fia_total_avg,fia_kernel_avg,mask_total_avg,mask_kernel_avg,baseline_total_avg,baseline_kernel_avg,speedup_total,speedup_kernel
0,8,128,1,4,1600|8|200|1200,0|1|2x2,0,1551.76,228.86,504.31,343.21,101.23,35.68,605.55,378.89,0.3902,1.6555
1,8,128,2,4,1600|8|200|1200;1700|8|300|1024,0|1|2x2,0x2,2206.74,445.06,835.22,669.73,154.64,70.29,989.86,740.01,0.4486,1.6627
2,8,128,4,4,1600|8|200|1200;1700|8|300|1024;1680|8|200|1280;2000|8|700|2048,0|1|2x2,0x4,4053.38,1109.37,2601.78,2383.93,233.52,165.07,2835.30,2548.99,0.6995,2.2977
3,8,128,8,4,2200|8|200|1024;1700|8|100|1100;2440|8|200|2048;1600|8|600|1900;3300|8|200|1300;1700|8|300|2100;1780|8|700|1200;2048|8|500|1800,0|1|2x2,0x8,8332.34,2687.67,5927.50,5583.62,1086.09,351.11,7013.59,5934.73,0.8417,2.2081
8,8,128,1,4,1600|8|5|1200,0|1|2x2,0,1425.12,187.37,475.61,346.29,82.43,36.46,558.04,382.75,0.3916,2.0428
14,8,128,1,19,1600|8|5x16|1200,0|1|2x17,0,1558.61,221.80,521.37,391.53,83.04,35.99,604.42,427.52,0.3878,1.9276
18,8,128,1,66,1600|8|5x63|1200,0|1|2x64,0,1542.76,270.87,564.36,496.03,126.87,58.32,691.23,554.35,0.4480,2.0465
22,8,128,1,131,1600|8|5x128|1200,0|1|2x129,0,1673.15,313.76,601.20,551.90,161.64,91.79,762.84,643.70,0.4559,2.0516
26,8,128,1,1027,1600|8|5x1024|1200,0|1|2x1025,0,3486.49,1420.08,2306.84,2252.06,1246.49,1186.17,3553.33,3438.23,1.0192,2.4212
27,8,128,1,4,1600|8|4|1200,0|1|2x2,0,1418.93,188.06,450.31,346.80,77.47,35.57,527.78,382.37,0.3720,2.0332
30,8,128,1,4,1600|8|32|1200,0|1|2x2,0,1616.78,198.78,506.54,355.77,79.60,35.26,586.14,391.03,0.3625,1.9672
34,8,128,1,4,1600|8|512|1200,0|1|2x2,0,1554.58,268.63,599.75,430.78,91.94,50.94,691.69,481.73,0.4449,1.7933
35,8,128,4,67,1600|8|16x64|1024;1600|8|16x64|1024;1600|8|16x64|1024;1600|8|16x64|1024,0|1|2x65,0x4,4335.29,1318.31,2164.28,1919.83,282.28,174.21,2446.56,2094.04,0.5643,1.5884
37,8,128,1,67,2000|8|16x64|1200,0|1|2x65,0,1882.99,451.89,826.09,700.19,98.83,58.29,924.91,758.48,0.4912,1.6785
42,8,128,2,67,1600|8|32x64|1200;1600|8|32x64|1200,0|1|2x65,0x2,3401.24,1100.58,1849.74,1673.29,166.35,126.82,2016.08,1800.11,0.5927,1.6356
50,8,128,4,35,1600|8|5x32|1800;1600|8|5x32|1800;1600|8|5x32|1800;1600|8|5x32|1800,0|1|2x33,0x4,4080.36,1080.81,1964.26,1722.47,251.06,166.95,2215.32,1889.42,0.5429,1.7482
52,8,128,1,35,2400|8|5x32|1024,0|1|2x33,0,1672.76,336.11,666.19,542.21,105.11,54.41,771.31,596.63,0.4611,1.7751
58,8,128,1,35,2000|8|15x32|1024,0|1|2x33,0,1612.78,324.10,593.12,511.14,97.14,54.54,690.26,565.68,0.4280,1.7454
70,8,128,1,4,1600|8|5|1200,0|1|2x2,128,1344.03,188.64,531.87,351.54,73.91,36.39,605.78,387.93,0.4507,2.0564
72,8,128,1,4,1600|8|5|1200,0|1|2x2,512,1316.11,187.67,450.56,346.07,80.62,36.26,531.18,382.33,0.4036,2.0372
73,8,128,1,4,1600|8|5|1200,0|1|2x2,1024,1288.43,190.33,465.18,351.28,76.39,36.44,541.56,387.72,0.4203,2.0371
90,8,128,2,7,1600|8|5x4|1200;1600|8|5x4|1200,0|1|2x5,128x2,2073.84,372.99,776.70,594.66,131.05,66.55,907.75,661.21,0.4377,1.7727
94,8,128,2,150,1600|8|4|14|6|4|10|5|14x2|15|8|7|11|5|7|6|15|12x3|15|6|12|13x2|3|6|23|14|12|9|5|6|15|6|12|11|10|15|10|14x2|10|14|13|7|15|11|9|13|7|6|3|7|14|7|6|11|4|14|6|12|11x2|8|2|11|10|15x2|9|5|15|5|6|14x2|3|9|13|8|12|14|15|5|11|9x2|7|8|7|13|12|5|8|12|13|12|13|15|3|11|10|6|14|10|11|14|6|47|49|10|4|12|10|12|7|12|8|14|13|15|13|15|2|15|11|5|12|15|9|7|15|9|7|5|14|7|14|7|5|11|13|6|15|11|22|15|2048;1600|8|6|13|37|7|6|7|38|9|29|13|21|5|11|10|13|5|6|8|12|15|9|15|8|35|14|10|12|9|14x2|13|16|5|11|15|22|5|15|10|7|6|17|14|5|8|6|14|9|11|9|6|10|34|8|2|7|9|10|3|4|11|9|5|15|10|14|7|12|14|11|5|3|11|13|15|47|11|6x2|7|13|8|10|6|8|3|6|8|12|11|12|15|14|15|6|8|12|8|13|9|13|15x2|7|11|10|15|11x2|13|5|7|47|8|6|10|6|3|12|22|10|11|15|29|10|6|13|10|5|12|13|11|12|10|9|5|14|15|13|14|6|13|11|7|8|13|12|1800,0|1|2x148,0x2,3635.03,1136.84,2032.69,1903.86,227.19,179.00,2259.89,2082.86,0.6217,1.8321
96,8,128,8,7,2000|8|13|34|10x2|1800;2000|8|14|12|10|6|2048;3200|8|9|15|11|10|2048;1600|8|7|13|5x2|2048;2000|8|10|4|5x2|1200;1600|8|14|12|7|11|1800;1600|8|42|9|4|9|1024;3200|8|15x2|18|7|2048,0|1|2x5,0x8,7959.55,2577.04,6312.83,6046.58,1054.52,346.35,7367.35,6392.94,0.9256,2.4807
98,8,128,1,51,3200|8|15|3|7|11|14|12|7|15|5|15|12|5|15|7|12|6|15|14|15x2|13|11|15|6|10|6|8|10|8|9|13|32|13|11|3|15|10|14|12|11|9|5|14|12|15|13|14x2|1024,0|1|2x49,0,2089.44,545.47,982.30,891.39,115.88,72.58,1098.17,963.97,0.5256,1.7672
